node_id,character_id,text,choice_a,next_a,choice_b,next_b
C003_fear_punishment,C003,也怕。但不只是怕。那時我真的覺得那是對的。現在想想，那才是最可怕的地方——我以為那是對的。,(END),,,
C003_mean_it,C003,是的。如果可以重來，我寧願死在那個坑旁邊，也不要成為那個扣下扳機的人。,(END),,,
C004_start,C004,我是軍醫。我接受過訓練，也給過訓練。,你在戰場上做了什麼？,C004_what_did,軍醫不是應該治病嗎？,C004_healer
C004_what_did,C004,活體手術訓練。把子彈打進活人，然後讓十個軍醫練習取出子彈。我們的技術不夠好，所以他們都在手術台上死了。,你有沒有一刻停下來？,C004_pause,你覺得那是醫療嗎？,C004_medical
C004_healer,C004,我一開始也這樣以為。後來我被告知：這是對抗疾病的神授任務，是科學探索。那個框架讓一切變得可能。,你相信那個框架？,C004_believe_frame,框架改變了什麼？,C004_frame_change
C004_pause,C004,第一次我感到噁心。第二次心安理得。第三次，我主動安排了下一次。我不知道那個停頓去了哪裡。,你找到了嗎？,C004_found_it,,
C004_medical,C004,那時我以為是。現在我知道那是謀殺，穿著醫療的外衣。外衣非常精緻——白袍、手術刀、消毒程序。但裡面是謀殺。,穿著外衣的謀殺更危險嗎？,C004_costume,,
C004_believe_frame,C004,相信。完全相信。石井中將說：用最高昂的科學精神探索未知的世界。那個話語很有力量，它讓「殺人」消失了，剩下「研究」。,(END),,,
C004_frame_change,C004,框架把「人」變成「材料」。把「殺」變成「取得數據」。語言改變，行動就跟著改變。語言是最有效的武器。,(END),,,
C004_found_it,C004,找到了。是在撫順監獄，有人第一次問我：你殺了多少人？不是「你完成了多少手術」，是「你殺了多少人」。那個問題讓我崩潰。,(END),,,
C004_costume,C004,是的。赤裸的暴力令人反感，容易辨認。但穿著制服、手術衣、國家授權書的暴力，進入房間時沒人阻止它。,七三一部隊的數據後來被美軍買走了。,C004_sold,,
C004_sold,C004,六九五美元。那是他們付的價錢。我不知道那算不算是對我們的審判，還是對整個世界的審判。,(END),,,
C005_start,C005,他們說這是教育。那些老鳥整天打我們耳光。,打耳光是訓練的一部分？,C005_slap,你反抗過嗎？,C005_resist
C005_slap,C005,對。軍靴沒擦亮——打。沒有好氣回答——打。大搖大擺走路——打。一整天，一次又一次。直到你只剩下反射動作。,那有什麼目的？,C005_purpose,你的感受呢？,C005_feeling
C005_resist,C005,哪能反抗。你一反抗就是更多耳光，然後是軍事法庭。我在大學學過人道主義——那些在第一個耳光之後就消失了。,人道主義不夠堅固？,C005_humanism,大學教的和軍隊的，哪個更真實？,C005_reality
C005_purpose,C005,讓你停止思考。讓你的「個人自我」死掉。他們要的是一個會服從命令的機器，不是一個會問「為什麼」的人。,他們成功了嗎？,C005_success,,
C005_feeling,C005,我沒有感受了。這就是重點。他們要的不是讓你感到痛苦，而是讓你停止感受。兩者差很遠。,你什麼時候重新開始感受？,C005_recover,,
C005_humanism,C005,不夠堅固，或者說，它沒有被訓練去抵抗這些。大學教你思考，軍隊教你不思考。後者的訓練更密集，更持久，也更殘酷。,(END),,,
C005_reality,C005,軍隊的感覺更真實——在那個當下。但那個「真實」是被製造出來的。那就是意識形態的運作方式。它讓你以為那是真實的。,(END),,,
C005_success,C005,是的。他們成功了。我變成了他們需要的那種人。然後我做了那種人會做的事。後來我花了幾十年試圖找回那個被打掉的「自我」。,(END),,,
C005_recover,C005,在撫順。當有人問我的名字，不是我的軍籍號碼，而是我的名字。那時我突然哭了。我都不知道自己還有眼淚。,(END),,,
C006_start,C006,你知道七三一部隊是什麼嗎？,知道一些。,C006_know_some,不清楚。,C006_explain
C006_know_some,C006,那你知道的，是真實發生的事的一小部分。我在裡面工作。我稱那些人為「木頭」。,為什麼叫「木頭」？,C006_wood,你現在怎麼稱呼他們？,C006_now_call
C006_explain,C006,哈爾濱郊外的基地。我們對活人進行實驗——疾病、低溫、解剖。超過一萬人在那裡死去。我是其中一個實驗者。,你是自願的嗎？,C006_volunteer,你知道自己在做什麼嗎？,C006_knew
C006_wood,C006,因為那樣比較容易。「木頭」不會痛，不會哭，不會有家人，不會有臉。語言是第一步。把人稱為「木頭」，之後的事就不算是對人做的事了。,你什麼時候停止叫他們木頭？,C006_stop_wood,,
C006_now_call,C006,他們是人。他們有名字，只是我不知道。他們有家人，有些家人找到現在還在找。有個女人花了幾十年才知道父親去了哪裡。,你告訴她了嗎？,C006_told,,
C006_volunteer,C006,一開始算是。那被說成是先進研究，是科學使命，是對抗疾病的戰爭。進去之後，你就在那個系統裡了，出不來。,系統讓人沒有選擇？,C006_system,,
C006_knew,C006,知道，又不知道。你知道你在做的事是「實驗」。你不知道你在做的事是「謀殺」。那個認知需要時間，需要有人幫你打破那個框架。,(END),,,
C006_stop_wood,C006,在撫順。當他們叫我說出我做過的事，一件一件說出來，不是用「木頭」、不是用「樣本」，而是用「這個人，在這天，我對他做了這件事」。那個時候我崩潰了。,(END),,,
C006_told,C006,那個調查員告訴了她。她痛不欲生。我不知道知道是否比不知道更好。但那個調查員說：家屬需要知道真相，否則無由生存下去。我不知道他說的對不對。,(END),,,
C006_system,C006,系統讓你覺得沒有選擇，這和真的沒有選擇不一樣。我後來花很長時間才搞清楚這個差別。,(END),,,
C007_start,C007,我不是職業口譯員。我是研究生，義務幫忙的。,為什麼願意做這個工作？,C007_why,這個工作很難嗎？,C007_hard
C007_why,C007,因為這些故事需要被傳遞。這些老人說的話，如果沒有人翻譯，就消失了。我覺得我有責任在這裡。,你翻譯的時候有沒有想過——這些話真的被聽進去了嗎？,C007_heard,翻譯讓你離這些故事太近了嗎？,C007_too_close
C007_hard,C007,非常難。有時候那些話我沒辦法直接翻譯。我會幫他們把問題軟化，幫他們道歉。我不確定那是對的。但我做了。,你改變了問題的意思嗎？,C007_changed,你覺得自己夠忠實嗎？,C007_faithful
C007_heard,C007,我不知道。金子君問我很多次：你認為他們懂嗎？我每次都說懂。但我不確定我自己真的懂。,「懂」是什麼意思？,C007_understand,,
C007_too_close,C007,是的。那些老人說話的時候是看著作者和攝影師，不是看著我。但那些話都先經過我的耳朵，停在我的腦子裡，才到他們那裡。,那些話還在你腦子裡嗎？,C007_still_there,,
C007_changed,C007,有時候。我把銳利的問題磨圓了。我想我是在保護他們——但也許我也在保護自己，不想面對那些話直接碰撞的結果。,(END),,,
C007_faithful,C007,不。完全忠實的翻譯也許根本不可能。語言裡有太多東西，翻譯不過去。那些老人說的話有些我找不到對應的詞。,(END),,,
C007_understand,C007,「懂」也許是：你讓那些話進入你，讓那些話改變你，讓那些話讓你不一樣。我不知道有沒有人能完全做到。但我希望有。,(END),,,
C007_still_there,C007,還在。我做夢的時候還在翻譯。夢裡那些老人問我：你認為他們懂嗎？我一直說：懂。但我不知道自己在說謊還是說真話。,(END),,,
C008_start,C008,他們來的時候，都是士兵。他們離開的時候，我希望他們是人。,你是用善意對待戰犯的人？,C008_kind,這不是一種軟弱嗎？,C008_weakness
C008_kind,C008,是的。足夠的食物、醫療照護、文化活動。不是酷刑，不是復仇。有人說我們在軟化他們，在洗腦他們。也許。但他們的改變是真實的。,你相信人可以改變嗎？,C008_change,他們的懺悔是真的嗎？,C008_genuine
C008_weakness,C008,也許是。但我的問題是：酷刑讓他們改變了嗎？讓他們懺悔了嗎？讓他們去告訴世人真相了嗎？沒有。善意做到了一些那些東西沒做到的事。,那是策略，不是善意？,C008_strategy,,
C008_change,C008,相信。我見過它發生。那些老人說他們在這裡「重生」——從惡魔重生為人類。這個說法也許太戲劇性，但那個改變是真的。,改變需要多久？,C008_time,,
C008_genuine,C008,我想是真的。但「真的懺悔」很難驗證。我只知道他們回到日本之後，用了幾十年去說那些他們知道的事，那不像是表演。,他們的社會接受他們嗎？,C008_society,,
C008_strategy,C008,也許兩者都是。善意是策略，策略是善意。我不覺得那兩者互相矛盾。,(END),,,
C008_time,C008,對每個人不一樣。有些人需要幾年。有些人在某一個問題之後，突然崩潰了，然後重新開始。,(END),,,
C008_society,C008,大部分不接受。他們回去被人嘲笑，被人輕蔑，被人叫叛國賊。他們繼續說了四十五年。那需要很大的勇氣。,(END),,,
